Exatamente como eu queria!","2015-12-08 16:11:18"
"Top","2015-12-08 16:14:18"
"
Entrega no prazo, excelente.","2015-12-08 16:19:17"
"Loja bastante responsável.  Meu produto derramou na caixa e eles repuseram.  Atendentes muito educadas.  Recomendo com força.  Rs. ","2015-12-08 16:17:53"
"Amei a loja. Super atenciosos, chegou rapido. Recomendaria com certeza.","2015-12-08 16:17:59"
"ENTREGA OK.","2015-12-08 16:20:03"
"Muito bom!!!","2015-12-08 16:22:38"
"muito boa.","2015-12-08 16:24:22"
"sensacional","2015-12-08 16:29:36"
"entrega super rápida! recebi em 4 dias.","2015-12-08 16:31:54"
"ótimo prazo de entrega, site fácil de navegar!","2015-12-08 16:32:03"
"A loja atendeu as expectativas e a entrega foi super rapida.","2015-12-08 16:38:46"
"OTIMO.","2015-12-08 16:38:13"
"Otimo o atendimento. Estao de parabens. Sempre informando via e-mail o trajeto do produto.","2015-12-08 16:39:42"
"Como sempre atendimento muito bom.","2015-12-08 16:39:07"
"Excelente","2015-12-08 16:42:43"
"Na loja o atendimento sempre foi ótimo, comprei pelo site e me senti como estive-se na loja. Obrigado Lebes.","2015-12-08 16:44:22"
"Uma empresa responsável que cumpri o que foi combinado....","2015-12-08 16:46:15"
"boa loja","2015-12-08 16:45:03"
"Maravilhoso","2015-12-08 16:46:30"
"gostei muito a entrega foi super rápido e o produto exelente.","2015-12-08 16:47:12"
"Rápido e fácil, excelentes opções","2015-12-08 16:47:34"
"Loja não foi transparente em avisar que instrumento era de exposição.","2015-12-08 16:49:31"
"Fiquei impressionado com o excelente atendimento. Estava com receio de realizar a compra pois não conhecia o site. O prazo de entrega era 19 dias úteis e recebi em 4 dias. Parabéns Super Muffato.","2015-12-08 16:53:21"
"recomendo","2015-12-08 16:52:01"
"primeira compra... com certeza farei outras...","2015-12-08 16:53:43"
"Achei pratico demais. A entrega do produto melhor ainda. Indico A vocês que comprem sem medo pela loja virtual... Parabéns a equipe Adcos.","2015-12-08 17:03:31"
"adorei e com certeza comprarei de novo","2015-12-08 16:58:35"
"demorou chegar","2015-12-08 16:59:41"
"Entrega rápida.","2015-12-08 17:00:18"
"A loja me foi indicada por minha amiga Vanessa. Minha experiência aqui foi excelente visto a agilidade no atendimento, o esclarecimento de dúvidas e ainda a rapidez no envio e na entrega! Muito obrigada Thayani! Voltarei sempre que precisar! ","2015-12-08 17:04:45"
"Ótimo atendimento, produto chegou dentro do prazo.","2015-12-08 17:01:31"
"MUITO PRATICO E RAPIDO","2015-12-08 17:01:26"
"Rápido na entrega, e fácil de negociar.  ","2015-12-08 17:02:39"
"recomendo","2015-12-08 17:02:10"
"a loja entrega rapido .","2015-12-08 17:02:52"
"Entrega detentor do prazo, sem problemas","2015-12-08 17:03:19"
"Achei muito bom.","2015-12-08 17:04:27"
"excelente, rápido e fácil","2015-12-08 17:05:53"
"compra rapida e segura, foi entregue na data prevista, recomendo.","2015-12-08 17:07:43"
"Este é o unico que da pra fumar por ele sozinho sem misturar....apesar de ter um sabor muito refrescante que não tem nada a ver com marlboro","2015-12-08 18:25:21"
"Recebi no prazo","2015-12-08 17:10:27"
"Excelente, atendeu em 24 horas.","2015-12-08 17:14:44"
"Preço bom facilidade para comprar frete gratis e rapidez na entrega, otimo.","2015-12-08 17:19:12"
"Nota 3 pelo fato do produto ter vindo com pequeno defeito no pé direito.","2015-12-08 17:18:07"
"Preço bom e a entrega foi muito rápida.","2015-12-08 17:23:53"
"Entrega garantida","2015-12-08 17:25:00"
"Ótimo tempo de envio da mercadoria","2015-12-08 17:25:23"
"Competente! Cumpriu o prazo..","2015-12-08 17:29:01"
"rápido e eficiente","2015-12-08 17:29:47"
"Já comprei algumas vezes na loja, sempre fui muito bem atendida! Já precisei trocar peças e trocaram sem problema nem dificuldades.","2015-12-08 17:36:09"
"Já comprei no site, acho que esta faltando alguns brindes.","2015-12-08 17:37:50"
"Faltou uma resposta, mesmo que negativa, ao email que mandei e foi solenemente ignorado.","2015-12-08 17:44:42"
"5","2015-12-08 17:43:41"
"perfeito ... ","2015-12-08 17:43:13"
"Bom","2015-12-08 17:47:33"
"Ótimo atendimento a mercadoria chegou antes do prazo.Recomendo.","2015-12-08 17:49:38"
"sempre muito bom com ótimos produtos e tempo de envios muito rápidos","2015-12-08 17:51:10"
"Produto Excelente, entrega no prazo muito satisfeito!!","2015-12-08 17:51:16"
"site seguro,claro e objetivo","2015-12-08 17:53:26"
"Vendedor atencioso,responsavel, produto chegou no prazo.","2015-12-08 17:56:25"
"Atendimento perfeito, envio da mercadoria corretamente e dentro do prazo estipulado.","2015-12-08 17:54:28"
"Recomendo muito","2015-12-08 17:56:40"
"Uma empresa boa!","2015-12-08 18:01:41"
